LocationID,ShipToNumber,StoreBrand,FuelBrand,ShipToCity,ShipToState,ShipToCountry,Latitude,Longitude
814,865123401,Exxon,Exxon,HOPEWELL,VA,US,37.286051,-77.226033
815,66572900,Exxon,Exxon,RICHMOND,VA,US,37.5857,-77.42576
816,909073902,Exxon,Exxon,GAINESVILLE,VA,US,38.79186,-77.62807
817,134209600,Exxon,Exxon,HUNT VALLEY,MD,US,39.49667,-76.65033
818,171769300,Exxon,Exxon,BALTIMORE,MD,US,39.34071,-76.76086
819,190852400,Exxon,Exxon,PASADENA,MD,US,39.12865,-76.54665
820,312921000,Exxon,Exxon,PERRYVILLE,MD,US,39.58879,-76.06686
821,950628800,Exxon,Exxon,GAITHERSBURG,MD,US,39.15859,-77.15985
822,380328500,Exxon,Exxon,CENTREVILLE,VA,US,38.82861,-77.43909
823,582743100,Exxon,Exxon,WOODBRIDGE,VA,US,38.67704,-77.27709
824,202459400,Exxon,Exxon,STERLING,VA,US,38.98033,-77.42385
825,306627100,Exxon,Exxon,EDGEWATER,MD,US,38.9306,-76.56489
826,590520300,Exxon,Exxon,RESTON,VA,US,38.96705,-77.35465
827,765531900,Exxon,Exxon,BALTIMORE,MD,US,39.29384,-76.62338
828,335458600,Exxon,Exxon,ODENTON,MD,US,39.08874,-76.70141
829,393321500,Exxon,Exxon,STERLING,VA,US,38.98022,-77.43448
830,438745200,Exxon,Exxon,MILLERSVILLE,MD,US,39.09637,-76.6256
831,176341600,Exxon,Exxon,HANOVER,MD,US,39.15277,-76.73073
832,941834401,Unknown,Unknown,LEESBURG,VA,US,39.09025,-77.5577
833,331595901,Marlin,Marlin,BOYDTON,VA,US,36.66752,-78.39189
834,139437801,Exxon,Exxon,BALTIMORE,MD,US,39.37697,-76.50579
835,986441402,Exxon,Exxon,RICHMOND,VA,US,37.59183,-77.53256
836,967267600,Mobil,Mobil,RUTHER GLEN,VA,US,38.0061,-77.51069
837,73177801,Exxon,Exxon,HOPEWELL,VA,US,37.26476,-77.32332
838,181530701,Sunoco,Sunoco,DANBURY,CT,US,41.442643,-73.473273
839,601584601,Mobil,Mobil,ALBANY,NY,US,42.71567,-73.81201
840,390607001,Exxon,Exxon,MANASSAS,VA,US,38.77173,-77.45254
841,668988901,Exxon,Exxon,GAITHERSBURG,MD,US,39.14624,-77.20431
842,190327701,Exxon,Exxon,ROCKVILLE,MD,US,39.10556,-77.15755
843,352995501,Exxon,Exxon,BALTIMORE,MD,US,39.28784,-76.53808
844,179590500,Mobil,Mobil,MONROE,NY,US,41.33761,-74.18854
845,348154600,Sunoco,Sunoco,WALDEN,NY,US,41.56087,-74.18749
846,531976900,Mobil,Mobil,MIDDLETOWN,NY,US,41.46482,-74.41342
847,475918900,Sunoco,Sunoco,WARWICK,NY,US,41.26035,-74.35738
848,609178900,Mobil,Mobil,MIDDLETOWN,NY,US,41.4246,-74.42903
849,700167000,STRIPES (SUSSER),STRIPES (SUSSER),PARKSVILLE,NY,US,41.85625,-74.7577
850,846682300,Sunoco,Sunoco,PORT CHESTER,NY,US,41.000225,-73.662313
851,164450900,Exxon,Exxon,MONROE,NY,US,41.33852,-74.18933
852,888235900,Mobil,Mobil,VOORHEESVILLE,NY,US,42.64949,-73.93384
